"ID","Function","Potential Failure Mode","Image1 - Failure Mode","Image2 - Failure Mode","TDM","SPR","Potential Failure Effects","SEVERITY","Potential Causes","Image - Root Cause","OCCURRENCE","Preventive Controls","Image - Prevention","Detection Controls","Image - Detection","DETECTION","RPN","PFMEA Linkage","SPRRefLink","JIRA","JIRARefLink"
"127","Scan Exit Window and Lens","Rubber baffle position shifted after drops","qualib538_pic1.png",,"QUAL-LIB-538","JIRA ME-2843","Misaligned or deformed appearance when looking into the scan engine from the scan window.","3","Design of rubber baffle allowed for positional shift due to lack of sufficient rigidity to resist local deflection.
Flaps designed as anchors made on a single plane resulting to insufficient holding strength.
Mating surface has irregular fits instead of flat-to-flat mating causing rubber to get caught and not able to bounce back.","qualib538_pic2.png","4","Baffle flange must be design with sufficient rigidity preferably over-molded to plastic to resist defection on impact.
Mating surface must be flat-to-flat as opposed to irregular fits.
The anchor points should be on multi-plane instead of single plane and in continuous flow instead of standalone to enhance holding strength.
Compare simulation results on amount of deflection from reference design.","qualib538_pic3.png","Drop test across temperature on each scan engine configuration
Tumble test on each scan engine configuration
Check for baffle position after test exposure
First Article Inspection checking for flashes that may prevent the baffle from laying flat",,"3","36","No",,,
"128","Health Care","Housings are cracking in Healthcare environment","qualib497_pic1.png",,"QUAL-LIB-497","SPR 30371","Decrease/ Loss of housing protection","6","Aggressive disinfectant chemical cleaners degrade Poly-carbonate plastics.",,"4","Products in healthcare industry require consideration for resistance to aggressive disinfectants. Use Poly-vinylchloride (rPVC) or Poly-phenylsulhone (PPSU) or other plastic resins developed for cleaning and disinfecting applications.",,"Thermal Shock
Chemical Resistance test",,"3","72","No",,,
"129","Vehicle and Cable Adapter","Internal wires of cable are breaking","qualib410_pic1.png",,"QUAL-LIB-410","SPR 28447","Charge cable unable to charge terminals","6","Strain relief design allows for sharp bending at the transition region from the over-mold to bulk cable causing high stress concentration to the internal wires.",,"4","Use a cross-cut pattern in the strain relief design to allow for relaxed bending at all directions.
Progressive reduce the slot opening size towards the connector end to minimize degree of bending close to the connector.
If necessary, use Kevlar strains within the bulk cable to wrap the internal wires to increase resistance from breaking.",,"Thermal Shock
Strain Relief bend test and other applicable test items specified in doc # 70-70984-01.",,"3","72","No",,,
"130","Vehicle and Cable Adapter","PCB of audio cable breaking when audio connector is plugged-in","qualib409_pic1.png",,"QUAL-LIB-409",,"Loss of audio function","7","Lack of structural mechanical support to prevent the cable housing assembly from bending when audio connector is plugged-in.",,"4","Design adequate structural mechanical support to cable housing assembly to enhance rigidity.","qualib409_pic2.png","Audio cable insertion life test",,"3","84","No",,,
"131","Vehicle and Cable Adapter","Over-voltage protection circuit failure in host device",,,"QUAL-LIB-445",,"Device failure to operate","8","Missing electrical surge protection test from part specifications.",,"4","Verify purchasing flow down of Charger adapter specification i.e., 86-70979-02.
Verify supplier test capability is meeting specifications including SAE1145 and ISO7637-02.
If contracting to external lab, ensure accreditation to ISO17025.
Verify supplier NRE includes Surge/Electrical compliance test cost per specifications.
Verify product specifications is based on power supply template document # 00-T612-QTP-01 rev. E or later.",,"Operating temperature cycle test
Design margin tests
Surge/ Immunity tests
Process Sign Off (PSO)
Burn-in test",,"3","96","No",,,
"132","Vehicle and Cable Adapter","Vehicle cradle ball and socket joint nut breaks during normal use","qualib522_pic1.png",,"QUAL-LIB-522","SPR 30416
SPR 27929","Vehicle cradle unable to stay in place when mounted.","6","Mismatch of off-the-shelf tightening nut thread pitch and vehicle cradle thread design.",,"4","Verify design compatibility between off-the-shelf components against Zebra design for interference when components are in proper position and orientation.
",,"Perform fit/ compatibility checks when incorporating off-the-shelf components.",,"4","96","No",,,
"133","Vehicle and Cable Adapter","Headset cable internal wires broken","qualib612_pic1.png",,"QUAL-LIB-612","SPR 33282","Intermittent or noisy audio over headset","7","Cable connector design results to repetitive excessive cable bend up to 180 degrees when in normal use.","qualib612_pic2.png","4","Cable connectors should be designed to operate in neutral position instead of being subjected to excessive and perpetual bend.
Product reference guides should prohibit users from placing devices in pockets where cables could be bent excessively or used as handles to move wearable devices around.",,"Thermal Shock
Strain Relief bend cycle test",,"3","84","No",,,
"134","Vehicle and Cable Adapter","Quick disconnect cable intermittent connection","qualib613_pic1.png",,"QUAL-LIB-612","SPR 33282","No audio or intermittent audio over headset","7","Line-to-Line contact design on commercially available connectors.  This minimum contact engagement is susceptible to  premature wear out and eventually results to non-contact.","qualib613_pic2.png","4","Avoid use of commercially available Quick Disconnect (QD) cables for Zebra applications.
Increase contact engagement on QD by 3mm.","qualib613_pic3.png","Connect/Disconnect life cycle test
Teardown inspection of mating surfaces",,"3","84","No",,,
"135","Vehicle and Cable Adapter","Cable breaking at strain relief","qualib614_pic1.png",,"QUAL-LIB-614","SPR 38267","No audio over headset","7","Cable Strain Relief design geometry induce stress concentration on cable bend.
","qualib614_pic2.png","4","Adopt proven Strain Relief design such as alternating cuts spaced in progression to avoid a concentrated bend point.","qualib614_pic3.png","Thermal Shock test
Strain Relief bend cycle test over temperature range",,"3","84","No",,,
"136","Display","Particle visible on display backlight","qualib413_pic1.png",,"QUAL-LIB-413",,"Cosmetic defect on display","4","Lack of support structure on the back of display.
Double-sided adhesive on backlight frame is not wide enough and adhesive strength is not adequate.",,"4","Design should provide support structure on the corners of the display to minimize movement of the backlight module during drops or tumble.
Backlight adhesive contact area and adhesive strength should be sufficient to allow the backlight module to withstand impact shock.",,"Thermal Shock
Drop test across temperature
Tumble test",,"3","48","No",,,
"137","Display","Ripples on display when finger pressed","qualib414_pic1.png",,"QUAL-LIB-414",,"Appearance of localized distortion on display","4","Interference points to the back of display module when pressure is applied on the display.",,"4","Design should provide a uniform support structure on the back of display. 
Components placed underneath the display should have sufficient clearance to prevent interference when pressure is applied on the display during normal use.",,"Add check item for ripples on display when pressure is applied during function testing.",,"3","48","No",,,
"138","Touch Panel","Touch Panel glass shattering",,,"QUAL-LIB-399","SPR 28541","Unable to operate device","8","TP glass shattering due to cracks initiating from the edges due to chippings i.e., poor edge quality.",,"4","Use alumino-silicate (Corning Gorilla Glass or equivalent) for applications with chemical strengthening.  Alumino-silicate glass can be post processed with Hydroflouric acid etch to improve edge quality.
Specifications for glass component should include the glass substrate material.",,"Four-point bend testing on glass components
First Article Inspection with microscope check on the glass edges for presence of chipping.
Thermal Shock
Drop Test across temperature
Tumble Test
Ball Drop on Touch Panel/ Display",,"3","96","No",,,
"139","Touch Panel","Touch Panel damaged on the edge area","qualib401_pic1.png",,"QUAL-LIB-401","SPR 25746
SPR 28424","Touch Panel unresponsive","7","Housing design did not adequately protect the edges of the touch panel","qualib401_pic2.png","4","Design should provide bottom edge protection to housing and keypad bezel and maintain the active area aligned within the  touch panel specification.
Touch panel design should include venting feature. Vent will allow for pressure equalization between touch panel and atmosphere.",,"Perform touch panel edge wear/ swipe testing.
Touch Panel durability life test.",,"3","84","No",,,
"140","Touch Panel","IP leak failure on Touch Panel",,,"QUAL-LIB-403",,"IP seal compromised and could result to potential function loss","6","Touch panel sensor surface does not cover the touch panel outline so it does not match with sealing adhesive area.",,"4","Touch panel design should ensure the outline is covered. Add fake sensor material if required to cover any exposed areas and use resin to fill any gaps.","qualib403_pic1.png","Thermal Shock
IP Tests",,"3","72","No",,,
"141","Touch Panel","ESD test failure at 12KV","qualib405_pic1.png",,"QUAL-LIB-405",,"Touch Panel partially operative or permanently damage ","7","Thickness of metal jumper between 8 - 16 microns could get damaged and bridge the glass-glass SITO touch panel configuration.",,"4","Design should ensure minimum thickness of 24 microns on glass-glass SITO (single-sided ITO) touch panel configuration.",,"Thermal Shock + Operating Temperature Cycling + Vibration + ESD",,"3","84","No",,,
"142","Touch Panel","Puffiness on Touch Panel","qualib408_pic1.png",,"QUAL-LIB-408","SPR 24297","Puffiness increases the stress on the ITO layer and can lead to premature breakdown of the ITO resulting in non-linearity and dead zones.","6","Puffiness caused by the blocking of the vents in the touch panel design.
Vents can be blocked due to the flow of the adhesive that bonds the layers of the touch panel into the venting areas.",,"4","Design to ensure the vents will not be blocked as a result of adhesive flow. 
The Display/Touch Panel gasket should be designed to provide relief in the areas of the vent to allow for unrestricted air flow.",,"Thermal Shock
Operating Temperature Cycling
Low Temperature Operating Function Test
High Temperature Operating Function Test",,"3","72","No",,,
"143","Touch Panel","Distorted image when pressure is applied to Touch Panel","qualib523_pic1.png",,"QUAL-LIB-523",,"Localized distortion on display","4","Inadequate clearance between Touch Panel / Display shield can and mainboard shields causing pressure being applied on back of display resulting to localized distortion.",,"4","1) Perform 1st order approximation (hand calculation) of Touch Panel / Display bending during user activation, approximately 100 grams.
2) Perform tolerance analysis to determine clearance between display shield and mainboard shield on the worst case stack-up. Clearance should be greater than the first order approximation.
3) Perform FEA of finalized Touch Panel + Display design to determine maximum applied force to cause interference between display shield can and mainboard shields.  There should be clearance with the shield can even in loaded condition.",,"Perform following test to establish presence or conditions necessary to create LCD distortion from Touch Panel use.  

First determine the location minimum clearance between the shield can of the Display and mainboard.  Apply compression at this location.
a) Test on Instron machine. Lay sample on a hard flat surface.
b) Have the plunger push down on the Touch Panel to a given force carefully observing the Display during the pull away for pressure marks.
c) If no pressure marks observed, increase pressure by 10g increments until distortion is observed.","qualib523_pic2.png","3","48","No",,,
"144","Touch Panel","Touch Panel is lifting up from plastic housing","qualib524_pic1.png",,"QUAL-LIB-524",,"Sealing compromised around Touch Panel could result to function loss.","6","Incorrect contact angle between the Touch Panel, Double-sided adhesive and Plastic housing.
Impurities on the bonding surface between Touch Panel and Plastic housing and bonding fixture parameters not optimized.",,"4","Design should establish if the contact angle between mating surfaces is correct.  Dyne Pen test can be used for this purpose. Confirm there is no interference between the mating surfaces e.g. TP sensor film, FPC, etc.
Ensure cleanliness on the bonding surfaces.  Consider plasma cleaning if needed.
Ensure bonding parameters i.e., pressure and hold time are optimized. ",,"Thermal Shock
Drop Test across temperature
Tumble Test",,"3","72","Yes",,,
"145","Touch Panel","Touch Panel cracking during AFM test cycle","qualib610_pic1.png",,"QUAL-LIB-610","JIRA ME-7701
JIRA ME-8355","Possible premature Touch Panel failure in the field rendering the device inoperable","6","Lack of protective bezel or ledge on top housing to protect the Touch Panel / Display assembly.
Prioritization of ID preference over mechanical design intent.
",,"4","Design should include protective features such as bezel depth on Top Housing to protect the Touch Panel / Display assembly.",,"mini-AFM test cycle
AFM test cycle
Drops across temperature
Tumble test",,"3","72","No",,,
"146","Enclosure","Screw boss cracking","qualib390_pic1.png",,"QUAL-LIB-390","SPR 28070","Screw loosening leading to compromised sealing which could result to function loss","6","Cracks due to approved nyseal on screws in boss locations attacking plastics and and exacerbated by the non-optimal ultrasonic insertion process of brass inserts.

Screw nyseal attack on plastics due to unauthorized use of a equivalent version of nyseal by the supplier.",,"4","Part drawing to specify only approved nyseal material is permitted to be used on the screws.
Perform mold flow analysis and avoid using nyseal on areas with high stress concentration.
",,"Thermal Shock
Operating temperature cycling
Drops across temperature
Tumble test",,"3","72","0",,,
"147","PCB Design and Components","Separation of BGA solder joint from solder pad","qualib426_pic1.png",,"QUAL-LIB-426",,"Intermittent operation of device","8","Delamination of BGA from plated PCB finish.",,"4","Ensure compatibility of BGA chemistry with Reflow temperature profile.
Ensure no mixed chemistry i.e. Pb free process with Pb BGA.
Ensure plated surface for BGA is Organic Solder Preservative (OSP) and not Electroless Nickel Gold (ENiG).
Verify selective plating of PCB for Ground Pad, surface contact board-to-board, antenna contact pad or PCB surface EMI contact shield/gasket is not OSP.
Use underfill or corner bond to provide strength against impact shock and PCB bending.",,"Drop test across temperature
Design margin testing
First Article Inspection to confirm PCB plating.  
Include PCB plating surface test report or C of C in FAI and Process Sign Off (PSO)",,"3","96","Yes",,,
"148","PCB Design and Components","RF shielding not effective","qualib427_pic1.png",,"QUAL-LIB-427",,"EMI performance not meeting specs","5","Incompatible surface finish for conductive contact or shielding.",,"4","Ensure compatibility of contact elements (EMI gasket, Metal Ground, Board-to-Board contact).
Ensure no dis-similar metal to metal contact to avoid galvanic corrosion.
Verify plated surface for contact area for shielding is Electroless Nickel Gold (ENiG) and not Organic Solder Preservative (OSP).
Verify selective plating of PCB if Ground Pad, Surface board-to-board contact, Antennae contact pad or PCB EMI contact shield/gasket is not OSP.",,"Drop test across temperature
Design margin testing
First Article Inspection on PCB including check for plating
Include plating surface test report or C of C in FAI and evidence for PSO",,"3","60","No",,,
"149","PCB Design and Components","Key press multiplied or different keys are displayed","qualib428_pic1.png",,"QUAL-LIB-428","SPR 22429
SPR 22576","Incorrect key is activated","5","PCB electrical interference for EL backlight driver.
The EL lines are long and routed above the Keypad matrix lines causing interference.",,"4","Identify sensitive lines for careful consideration during layout design i.e., high impedance inputs, oscillators, high power signals, etc.
Ass signal integrity simulation during layout of the above signals.
Placement of the  EL driver should be far enough from the end connector routing the EL signals in vicinity of the keypad matrix scan/return lines.
Traces isolated from one another by ground plane, keep length at minimum, comply with EN-13049-02 EE design rules.",,"Perform signal integrity tests at EV and DV builds.
Perform internal power supplies circuitry static and dynamic load tests.
Perform oscillators frequency accuracy and purity.",,"3","60","No",,,
"150","PCB Design and Components","Alternate component not meeting minimum turn ON voltage.",,,"QUAL-LIB-429",,"DS77 scanning function failed at 12V","8","The cost reduction alternative component did not have the same specifications as the original part.
The design requires switch with minimum turn ON voltage of 1V.  The cost reduced alternative has an actual turn ON voltage of 2V.",,"4","Identify how the component is used in the circuit application and its critical function.
Confirm the alternative component meets the circuit design intent.
 ",,"Bench level test on board level.
Engineering testing.
Test and Validation at different interfaces.
System level testing to validate against all use case scenarios.",,"3","96","No",,,
"151","PCB Design and Components","Supercap thermal (burn) damage ","qualib430_pic1.png",,"QUAL-LIB-430",,"Unable to operate device","8","The supercap was hand soldered and was overheated by soldering for greater than the recommended duration.",,"4","Ensure PCB design supports minimal heat exposure to supercap leads and body preferably through hole with little to no hand solder excess heat exposure.
Review and conform to manufacturer heat exposure specifications.
Review the leads/pad size and confirm no damage to component or surrounding components if hand soldered.",,"Load life testing of components.
Characterize component for performance over the PRD/published operating temperature of the product.
 ",,"3","96","Yes",,,
"152","Connectors and Flex Plating","Connectors fell off the main board","qualib577_pic1.png",,"QUAL-LIB-577","SPR 28834
SPR 32434","No scan function of unable to operate device","8","The connector fell of the main board due to solder creep.  
The connector is under a constant load/ compression.
Thermal cycling or continued operation at high temperature.",,"4","Design should ensure there is no permanent load present on the solder joints (preferably no more than 0.1 N/mm2). If there is constant load on the connector, there should be additional supporting feature to the solder joint e.g. glue applied.
Do not position connectors near a heat source e.g. battery.
Select connector design which does not apply constant load to the solder joints.  If required by design, ensure availability of space for supporting feature.",,"Thermal Shock.
Operating temperature cycling.
Drop test across temperature.
Tumble test.
",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=28834",,
"153","PCB Design and Components","Gold plated contact pads falling off from PCB","qualib578_pic1.png",,"QUAL-LIB-578","JIRA EE-3277","Unable to operate device","8","Soldering of gold contact pads to PCB results in gold embrittlement of solder joints (too much gold) or gold scavenge (too little gold) resulting to unreliable solder connections.",,"4","Avoid using gold contact pads for soldering to PCB.  Consider PCB selective plating process that can accommodate putting the proper gold (and Au plating thickness) directly to the PCB.  Gold contact pads directly printed to PCB eliminates the need for soldering, removing the risk of poor solder joint.","qualib578_pic2.png","Drop test across temperature
Tumble test
Teardown inspection to verify gold plated contacts remain secured after test exposure
If use of Au pads is required, proper inspection after PCB build - no solder on contact surface per IPC-610 10.1.1 ""Target - Class 1, 2, 3).  No contamination on surface contact areas.
X-ray inspection to ensure proper solder joint formation.  Voiding should be the result of flux off-gassing (typically round rather than irregular shaped) and not solder wicking on surface of Au pad.",,"3","96","Yes",,,
"154","Switch","Reset switch not responding","qualib579_pic1.png",,"QUAL-LIB-579","SPR 34389","Device goes into factory reset wiping out configuration settings","7","Loss of switch tactility due to interference between the switch's plunger and the I/O gasket effectively pre-loading (actuating) the switch.  ",,"4","Design to ensure placement of the switch to PCB does not allow for any interference that would partially or completely pre-activate the switch.  
PCB design group should have a CAD representation of switches with variable actuators to identify any potential interference.",,"Perform switch life test.
Measure switch actuation force and tactile feedback.",,"3","84","No",,,
"155","Antenna","LAN & GPS antennae broke off during drop test","qualib482_pic1.png",,"QUAL-LIB-482",,"Unable to connect to Wi-Fi and GPS","7","Poor anchoring",,"4","Design for adequate anchoring such as more than one screw to support antenna assembly or add epoxy for reinforcement.
Pad size optimization for good solder joint.
Design to account for part interference during drops and tumbles.",,"Drop tests
Tumble test",,"3","84","No",,,
"156","Cradles and Interconnect","Vehicle cradle unable to charge Terminal battery",,,,"SPR-45084","Device operation limited to available battery power","5","Flex cable connecting the connector and mainboard had cracked resulting to broken copper traces.  The crack was due to fatigue failure caused by the movement of the Flex cable when the Terminal is seated.  The Flex cable dressing has sharp bends causing high stress levels resulting to breaking of copper traces.","4f325b03-734c-41e9-a2fd-e69f302859e3.jpeg","3","Increase bend radius on Flex cable to avoid sharp bends.","009ddbc1-a570-48ff-8379-0008405ffd4d.jpeg","1) Apply appropriate amoung of load force during insertion life test to simulate filed condition.  Failure reproduction on SPR-45084 used 6kgf and during validation of proposed solution.

2) Avoid sharp bends in dressing design of Flex cables. ",,"3","45","No","https://jira.zebra.com/browse/SPR-45084",,
"157","Enclosure","Towel Bar was breaking during installation of hand strap.","bee3237a-a45c-446c-ba14-35b3fe85d43b.jpeg",,,"SPR-41878","User unable to securely fix Terminal to hand.","4","Insufficient thickness of the Towel Bar.  Location of the weld line is on the thin section of the plastic.","d11489ca-4c6d-49c5-a44e-2f08901dfd2a.jpeg","4","Towel Bar thickness should be no less than 1mm in cross-section.
Avoid weld lines on thin areas of the plastic part.",,"Conduct moldflow analysis specifically on parts with thin areas that are likely to experience high levels of stress.  
Perform life test on hand strap installation and removal.",,"3","48","No","https://jira.zebra.com/browse/SPR-41878",,
"158","Enclosure","IPX5 test failure","2eb5d7e0-f9af-407b-b5d3-28a2dde21951.png",,,"SPR-50586","Failure to operate.","8","Insufficient compression of rubber seal.  Target compression rate was 0.15 but the actual compression was at 0.1.  Tolerance analysis did not pickup the issue due to dimensions used for the study were not from the final design causing the use of non-production intent dimensions resulting to incorrect conclusion.",,"4","1) Conduct Tolerance Analysis using dimensions from the poroduction intent design.
2) Consider using Liquid Injection Molding (LIMS) design for rubber sealing as opposed to Hot Plate Molding process.
3) Avoid slopes for sealing surfaces.  Vertical, Horizontal or Angular designs are preferred.  ",,"Test for battery sealing is performed on “battery standalone” units and on “terminals with battery installed” for system level testing.  The standard water ingress test should be adequate to pickup failure on this area.",,"3","96","No","https://jira.zebra.com/browse/SPR-50586",,
"159","Soft Goods, Straps and Stylus","RS5100 device is not operating when attached to Hand Mount accessory (SG-RS5X6-HNMT-01).",,,,"SPR-48332
SPR-50721","Unable to activate scan engine","8","Poor electrical contact between RS5100 device and the Hand Mount accessory due to insufficient compression of the Pogo pins resulting to non-contact or high contact resistance with the RS51 device. The design compression ratio is 50%, and the calculated compression ratio of the failed unit is approx. 40% which not includes the plastic housing deformation caused by the sealing foam between RS51 and the hand mount. If considering plastic housing deformation, the actual compression ratio will be less than 40%.

The combination of 2 reasons:
(1)  Incorrect conclusion was drawn from the Tolerance Analysis (TA) study due to relevant dimensions reflected in the 2D drawing were incorrect.

 (2) Firefly terminal (USI): Because the PCB is installed into metal head with a tilt angle, the rubber is pinched between PCB and metal head boss, so the connector is about 0.20 lower than design.
","f25c3cfb-3d53-47d3-bd33-28a7a855a743.jpeg","3","1) Ensure dimensions used for the TA study reflects the production intent design and is correctly reflected in the drawing.
ie. SPR48332, ECRT ME ran tolerance analysis again and collected 30pcs data for all the dimensions missed on 2D drawings, working with the suppliers to adjust parameters to meet the target with 50% compression ratio, then updated 2D drawings to add/modify those dimensions/tolerance referenced in TA loop. 

2) Verify in the 3D model and TA, the compression of the Pogo pins when engaged is at 50% minimum.

3) For tilt installation, ensure adjacent area is free from risk of interference e.g., on SPR-4832 the design was updated to enlarge the opening at boss area to avoid pinching.
","d0ac78f6-459d-4c81-81ae-fc83c37e51e0.png","1) During DFM check for possibility of interference e.g., pinching.

2) Teardown inspection for indications of interference post Qualification, AFM, ORT.

3) Designate critical dimensions during TA as critical dimensions in the 2D drawing.

4) Verify Cpk of 1.33 for all critical dimensions during FAI
",,"4","96","No","https://jira.zebra.com/browse/SPR-48332",,
"160","Switch","Button cover bulging; rubber peeling away from case of button covers; button cover of exoskeleton broken and separated from case.

Source:  SPR47337, TC53/58 Jaws exoskeleton's buttons swelled and expended out ward after about 50 days usage.
","5aee3ec2-699f-48f7-bbc5-fd3224bd784b.jpeg",,,"

SPR 47337","Unable to operate button function.","7","The rubber expansion results in the side keys bowing outward since they are only supported at the ends. The support for the keys was minimized in the design to decrease key activation force as driven by PdM and HF.

The rubber expansion causes additional stress to the interface between the EXL9330 plastic and rubber causing the rubber to peel away from the plastic in some cases.

Hand oils (oleic acid), cleaners (hand sanitizer), and out of spec chemicals (ex: Clorox) are being absorbed by overmold(DuPont Hytrel 4056).

Chemical absorption of the Hytrel material causes the rubber to expand. 

Ref:  The buttons on the TC53/58 (Jaws) exoskeleton are swelling and bulging outward.  The standard chemical testing could not identify this issue prior to release.

",,"4","Implement the interlock design between the interface of Hytrel and EXL9330 materials to create more mechanical bonding where needed to provide resistance to chemical exposure.","9affbca1-7c2b-464f-9b27-a63172e9a257.jpeg","Update chemical testing methods and standards to align with real world use cases. It should be noted that the testing specifics may need to be different for different types of chemicals (Clorox) based on how frequently a device comes into contact with that chemical.
",,"3","84","No","https://jira.zebra.com/browse/SPR-47337",,"https://jira.zebra.com/browse/SPR-47337"
"161","Camera and Proximity Sensor","Camera inoperative.",,,,"SPR - 46005 TC56
SPR - 47022 TC51 HC
SPR - 46382 TC56
","Camera flex traces appear discontinued under X-ray, causing camera artifacts and non-functionality.  In some cases, the camera seems to be working ok, however the traces are already damaged. ","5","Camera flex being folded and covered in copper foil (manipulated) prior to assembly, along with the fact that ED copper was used in manufacturing, instead of RA or HA copper. ED copper is less likely to withstand the flexural test this flex is under.
The Zebra specifications state that the flex should use RA copper [at a minimum], especially in flexes that see bending/manipulation during assembly. ",,"4","1. The Zebra Flex strip specification should be shared with all the manufacturers and JDMs prior to design;
2. The flexes that are folded and susceptible to broken traces should be X-ray checked post quality testing, and any broken traces should be considered ""failure in testing"" despite that component's functionality status.
3. The need for implementation of additional shielding should be checked on every device, not added because of it being used historically;",,"Thermal Shock
Drop Test
Tumble Test",,"3","60","No",,,
"162","Battery and Interconnect","Battery connection intermittent.  Battery contacts are stripped of gold, and deep gauges are present in the terminal side battery contacts [the blades].",,,,"SPR-47221","Device reboots when given a shake or pressure applied on the battery side.","8","1.  The battery is removed 2-3 times a day, and changed between terminals, the user is ""holding"" onto the battery throughout the day [exposure to debris, air, moisture] prior to using it in the terminal;
2.  The battery is located in the terminal by the connector and all the other restraining features are allowing it to move too much, causing too much deflection in the connector's springs;
3.  The contacts of the terminal connector do not have the proper amount of plating: both the Nickel plating and the Hard Gold plating are found in SEM analysis to be thinner than recommended;
4.  The alloy used in the connector manufacturing is vaguely described in the datasheet as ""copper alloy"", and found to be too soft for this application. ","Picture1.png","4","1.  The connector's materials and plating should be specified and known prior to design and validated with a connectivity specialist.  The plating thickness is non-negotiable and meet the Zebra specifications.
2.  The tolerance analysis must be reviewed by Zebra engineering and validated for minimal amount of relative movement/stress on contacts.",,"High Magnification inspection of the battery contacts plating condition after submitting to environmental tests e.g. 
Vibration Test, Drop Test Tumble Test, ",,"3","96","No",,,
"163","Battery and Interconnect","Corrosion on Charge Cradle pogo pins",,,,"SPR- 50132","The pogo contacts are corroded, develop heat during charging, melting the pogo pogo pin shroud (plastic) and the cradle plastic housing, leading to permanent failure of both the cradle and the terminal.","8","1.  The plating does not meet the Zebra Technologies minimum requirements:
2.  The ball surface was not smooth enough to accept the nickel plating [crevices were present on the surface] and an additional copper flush plating was required after we changed the material from SUS304 to brass. 
3.  Due to heat dissipation in the contact, the spring would re-form in the compressed position, no longer meeting the force needed to make a good contact.
4.  This vendor [CCP] is using some substance to enhance the lubrication inside the pin, that over-time leads to dirt and moisture accumulation, enhancing the corrosion process.","Picture2.png","4","1.  The connector's base materials and plating sequence and thickness should be specified and known prior to purchase agreements.
2.  The copper flushing is important when the manufacturing process does not result in smooth surfaces on the parts
3.  Design must include temperature control in the charging cradle to avoid permanent failure of the terminal/cradles and customer environmental dangers.
4.  The tolerance analysis must be reviewed by Zebra engineering and validated for minimal amount of relative movement/stress on contacts.
",,"Chemical Test.  High magnification inspection of the contacts for any signs of corrosion and plating defects. In this case the defect was replicated by chemical testing. While the system did not show signs of miss-communication immediately following the testing, and by this standard would be considered ""passed"", the plating was missing, corrosions spots started, and it was just a matter of time until disconnection or overheating would appear. ",,"3","96","No",,,
"164","Switch","Power button get stuck inwards of the housing","Screenshot 2024-02-12 120239.png",,,"SPR-47703, 48223, 50797, 50808, 51092, 51569, 52304","Switch does not have any tactile feedback. Power button stay on or off or does not allow the terminal to start/ turn on-off/reboot properly.","7","1) Power button silicone soft plunger O-ring seal is pushed inwards in the housing and due to the expansion of the material it can come back to the housing hole making the power button to get stuck inwards.

2) Deterioration of the tool finish into a rough surface over time causing high amount of friction with the power button plunger which is made of soft material.

3) Difficulty in maintaining high number of cavities for a specific tool e.g. 192 cavities for the TC2x power button. ",,"4","1) Perform a full check for cosmetic surface finish. No adding surface finish to a hole where a soft material will interact with friction.

2) Silicone power button activation compression tolerance analysis check.

3)  Submit for design review the O-ring vs. tolerances and the activation force/displacement of the O-ring. 

4) Review of tooling & molding process to avoid cosmetic defects.
",,"Thermal Shock
Power Button Actuation Life Test",,"4","112","No",,,
"165","Acoustics and Audio","Mic boom are becoming heavy with frost and moisture and are falling off while working in the freezer environment","Picture1.png",,,"SPR-50809","Headset mic freezing up, which won't allow the selector to communicate. 
Static interference with the unit that limits the selector's ability to hear likely due to condensation that builds in the earpiece.","7","1.  Product was designed for -30 C operation but condensing humidity was not properly mitigated. Some warehouse use cases constantly cycle workers between freezer and cool dock (condensing) on top of just user breath concerns.
2.  Use of a ""long boom"" version that allows the user to place the mic directly in front of the mouth caused almost immediate condensation issue.","Picture3.png","3","1.  Mechanical design should not use a design that requires a foam or mesh mic cover as humidity from the user's breath saturates the cover and then freezes to block audio. Changing the wind screen every 4 hours or when wet is impractical. When intended use case in refrigerated, design for a ""short boom"" that prevents the mic from being placed in front of the user's mouth.
2. Systems Engineering should add/revise the requirement for audio products used in refrigerated areas to be ""CONDENSING"" as it is unavoidable.",,"1. Require condensing environment (Engineering & QTP) testing of the audio function cycling in and out of cold (freezer operating value) with humidity.
2. Design reviews need to discuss real life use cases based on lighthouse customers using refrigerated use cases.",,"4","84","No",,,
